"OPERATION","MEMBERS","AVG:XMTP.SDK.DURATION{METRIC_TYPE:OPERATION,ENV:PRODUCTION,GEO:US-EAST,TEST:TS_PERFORMANCE}"
creategroupbyidentifiers,400,7293.44
creategroup,400,7172.52
creategroupbyidentifiers,350,6502.96
creategroup,350,6457.56
creategroupbyidentifiers,300,5726.98
creategroup,300,5657.68
creategroupbyidentifiers,250,4526.802857142858
creategroup,250,4310.269523809524
creategroupbyidentifiers,200,3161.3219047619045
creategroup,200,2967.5857142857144
creategroupbyidentifiers,150,2203.7285714285713
creategroup,150,1996.9409523809525
creategroup,100,1273.5847619047618
creategroupbyidentifiers,100,1200.4352380952382
creategroup,50,1081.152380952381
creategroupbyidentifiers,50,681.1723809523809
removemembers,400,295.98
removemembers,250,275.2142857142857
removemembers,350,260.5
createdm,,238.44285714285715
updategroupname,400,234.38
removemembers,300,230.22
updategroupname,350,227.6
updategroupname,300,214.68
updategroupname,250,208.2952380952381
removemembers,200,187.73142857142858
receivegroupmessage,400,187.22
receivegroupmessage,350,174.44
removemembers,150,165.25333333333336
receivegroupmessage,300,162.72
updategroupname,200,157.90571428571428
syncgroup,400,157.44
receivegroupmessage,250,155.24571428571429
syncgroup,250,151.98761904761903
updategroupname,150,147.18857142857144
removemembers,100,146.58285714285714
syncgroup,350,146.38
receivegroupmessage,200,145.02
syncgroup,300,138.02
updategroupname,100,135.80285714285714
receivegroupmessage,150,133.98857142857142
removemembers,50,131.87333333333333
updategroupname,50,129.19714285714286
receivegroupmessage,100,125.77333333333334
syncgroup,200,119.56380952380952
receivegroupmessage,50,118.44380952380952
sendgm,,115.38857142857142
sendgroupmessage,400,97.88
sendgroupmessage,350,92.86
sendgroupmessage,300,92.32
syncgroup,150,89.00952380952381
sendgroupmessage,200,88.7247619047619
sendgroupmessage,250,87.93523809523809
sendgroupmessage,150,84.53523809523809
receivegm,,82.28
sendgroupmessage,100,81.56761904761905
sendgroupmessage,50,81.22095238095238
syncgroup,100,78.81809523809524
syncgroup,50,74.64190476190475
inboxstate,,42.72380952380952
