Group Size,Inst/Member,Actual Inst,Diff,Est. Inst,Add Members (ms),SyncAll (ms),Time per Install (ms)
60,30,1713,-87,1800,422.00,997.53,0.25
90,20,1743,-57,1800,372.00,747.72,0.21
120,15,1758,-42,1800,401.00,1007.16,0.23
180,10,1774,-26,1800,443.00,1138.13,0.25
190,10,1873,-27,1900,441.00,1209.25,0.24
130,15,1908,-42,1950,403.00,1122.18,0.21
80,25,1928,-72,2000,543.00,1076.16,0.28
100,20,1944,-56,2000,351.00,1141.92,0.18
200,10,1974,-26,2000,449.00,1209.01,0.23
70,30,2013,-87,2100,431.00,1123.54,0.21
140,15,2058,-42,2100,435.00,1009.45,0.21
110,20,2143,-57,2200,416.00,1257.02,0.19
